"Title","Plane measurement results data"
"Date saved","6/11/2026","2:34 PM"
"Comment",
"[ Main ]"
"No.","Measure","Result","Unit"
"1","Diameter",1.96,"mm"
"2","Diameter",2.20,"mm"
"3","Diameter",2.19,"mm"
"4","Diameter",2.16,"mm"
"5","Diameter",2.12,"mm"
"6","Diameter",2.05,"mm"
"7","Diameter",1.95,"mm"
"8","Diameter",2.15,"mm"
"9","Diameter",1.87,"mm"
"10","Diameter",2.09,"mm"
"11","Diameter",2.09,"mm"
"12","Diameter",2.16,"mm"
"13","Diameter",2.08,"mm"
"14","Diameter",2.04,"mm"
"15","Diameter",1.94,"mm"
"16","Diameter",2.08,"mm"
"17","Diameter",2.14,"mm"
"18","Diameter",2.03,"mm"
"19","Diameter",2.05,"mm"
"20","Diameter",2.04,"mm"
"21","Diameter",2.07,"mm"
"22","Diameter",2.15,"mm"
"23","Diameter",2.09,"mm"
"24","Diameter",2.09,"mm"
"25","Diameter",2.18,"mm"
"26","Diameter",1.90,"mm"
"27","Diameter",2.18,"mm"
"28","Diameter",2.07,"mm"
"29","Diameter",2.16,"mm"
"30","Diameter",2.10,"mm"
"31","Diameter",2.10,"mm"
"32","Diameter",2.09,"mm"
"33","Diameter",2.13,"mm"
"34","Diameter",2.10,"mm"
"35","Diameter",2.03,"mm"
"36","Diameter",2.14,"mm"
"37","Diameter",2.10,"mm"
"38","Diameter",2.11,"mm"
"39","Diameter",2.15,"mm"
"40","Diameter",2.05,"mm"
"41","Diameter",1.80,"mm"
"42","Diameter",2.12,"mm"
"43","Diameter",2.11,"mm"
"44","Diameter",1.61,"mm"
"45","Diameter",2.11,"mm"
"46","Diameter",2.09,"mm"
"47","Diameter",2.14,"mm"
"48","Diameter",2.09,"mm"
"49","Diameter",2.07,"mm"
"50","Diameter",2.14,"mm"
"51","Diameter",2.11,"mm"
"52","Diameter",2.11,"mm"
"53","Diameter",2.17,"mm"
"54","Diameter",2.12,"mm"
"55","Diameter",2.10,"mm"
"56","Diameter",2.10,"mm"
"57","Diameter",1.75,"mm"
"58","Diameter",1.73,"mm"
,"Count",0,"pcs"
"[ XY Measure ]"
,"X",,
,"Y",,
,"D",,
"[ Area ]"
"No.","Area","Unit","Perimeter","Unit"
"Total area",0.00,"mm²"
"Count",0,"pcs"
"Area ratio",0.00,"%"
"Total region area",619.05,"mm²"
