"Title","Plane measurement results data"
"Date saved","6/18/2026","12:52 PM"
"Comment",
"[ Main ]"
"No.","Measure","Result","Unit"
"1","Diameter",1.92,"mm"
"2","Diameter",1.91,"mm"
"3","Diameter",1.96,"mm"
"4","Diameter",1.97,"mm"
"5","Diameter",1.89,"mm"
"6","Diameter",1.96,"mm"
"7","Diameter",1.86,"mm"
"8","Diameter",1.96,"mm"
"9","Diameter",1.91,"mm"
"10","Diameter",1.91,"mm"
"11","Diameter",1.94,"mm"
"12","Diameter",1.87,"mm"
"13","Diameter",2.06,"mm"
"14","Diameter",1.83,"mm"
"15","Diameter",1.83,"mm"
"16","Diameter",1.99,"mm"
"17","Diameter",1.94,"mm"
"18","Diameter",2.08,"mm"
"19","Diameter",1.80,"mm"
"20","Diameter",1.86,"mm"
"21","Diameter",2.01,"mm"
"22","Diameter",1.92,"mm"
"23","Diameter",1.90,"mm"
"24","Diameter",1.89,"mm"
"25","Diameter",1.92,"mm"
"26","Diameter",1.81,"mm"
"27","Diameter",1.88,"mm"
"28","Diameter",1.98,"mm"
,"Count",0,"pcs"
"[ XY Measure ]"
,"X",,
,"Y",,
,"D",,
"[ Area ]"
"No.","Area","Unit","Perimeter","Unit"
"Total area",0.00,"mm²"
"Count",0,"pcs"
"Area ratio",0.00,"%"
"Total region area",619.05,"mm²"
