"Title","Plane measurement results data"
"Date saved","6/22/2026","11:01 AM"
"Comment",
"[ Main ]"
"No.","Measure","Result","Unit"
"1","Diameter",2.05,"mm"
"2","Diameter",2.07,"mm"
"3","Diameter",1.95,"mm"
"4","Diameter",2.00,"mm"
"5","Diameter",2.02,"mm"
"6","Diameter",1.98,"mm"
"7","Diameter",2.00,"mm"
"8","Diameter",1.97,"mm"
"9","Diameter",2.30,"mm"
"10","Diameter",2.04,"mm"
"11","Diameter",2.02,"mm"
"12","Diameter",2.01,"mm"
"13","Diameter",1.97,"mm"
"14","Diameter",2.00,"mm"
"15","Diameter",2.02,"mm"
"16","Diameter",2.02,"mm"
"17","Diameter",2.00,"mm"
"18","Diameter",1.96,"mm"
"19","Diameter",1.94,"mm"
"20","Diameter",2.06,"mm"
"21","Diameter",2.06,"mm"
"22","Diameter",1.98,"mm"
"23","Diameter",1.99,"mm"
"24","Diameter",1.93,"mm"
"25","Diameter",1.91,"mm"
"26","Diameter",2.03,"mm"
"27","Diameter",2.02,"mm"
"28","Diameter",1.92,"mm"
"29","Diameter",2.07,"mm"
"30","Diameter",2.04,"mm"
"31","Diameter",2.03,"mm"
"32","Diameter",2.03,"mm"
"33","Diameter",1.88,"mm"
"34","Diameter",1.93,"mm"
"35","Diameter",1.97,"mm"
"36","Diameter",2.00,"mm"
"37","Diameter",1.98,"mm"
"38","Diameter",1.97,"mm"
"39","Diameter",2.03,"mm"
"40","Diameter",2.00,"mm"
"41","Diameter",2.04,"mm"
"42","Diameter",1.96,"mm"
"43","Diameter",1.79,"mm"
"44","Diameter",1.96,"mm"
"45","Diameter",2.03,"mm"
"46","Diameter",1.98,"mm"
"47","Diameter",2.03,"mm"
"48","Diameter",2.02,"mm"
"49","Diameter",1.90,"mm"
"50","Diameter",2.01,"mm"
"51","Diameter",1.91,"mm"
"52","Diameter",1.99,"mm"
"53","Diameter",2.00,"mm"
"54","Diameter",1.97,"mm"
"55","Diameter",1.91,"mm"
"56","Diameter",2.16,"mm"
"57","Diameter",1.91,"mm"
"58","Diameter",1.96,"mm"
"59","Diameter",1.96,"mm"
"60","Diameter",2.00,"mm"
"61","Diameter",2.03,"mm"
"62","Diameter",1.93,"mm"
"63","Diameter",1.95,"mm"
"64","Diameter",1.99,"mm"
"65","Diameter",2.00,"mm"
"66","Diameter",2.00,"mm"
"67","Diameter",2.02,"mm"
"68","Diameter",1.98,"mm"
"69","Diameter",1.96,"mm"
"70","Diameter",1.94,"mm"
"71","Diameter",2.03,"mm"
"72","Diameter",2.01,"mm"
"73","Diameter",2.01,"mm"
"74","Diameter",1.97,"mm"
"75","Diameter",1.94,"mm"
"76","Diameter",1.99,"mm"
"77","Diameter",1.98,"mm"
"78","Diameter",2.00,"mm"
"79","Diameter",1.97,"mm"
"80","Diameter",1.97,"mm"
"81","Diameter",2.01,"mm"
"82","Diameter",2.01,"mm"
"83","Diameter",1.94,"mm"
"84","Diameter",1.96,"mm"
"85","Diameter",2.08,"mm"
"86","Diameter",1.95,"mm"
"87","Diameter",1.98,"mm"
"88","Diameter",2.05,"mm"
"89","Diameter",1.96,"mm"
"90","Diameter",2.01,"mm"
"91","Diameter",2.00,"mm"
"92","Diameter",2.03,"mm"
"93","Diameter",1.93,"mm"
"94","Diameter",1.97,"mm"
"95","Diameter",1.98,"mm"
"96","Diameter",2.01,"mm"
"97","Diameter",2.02,"mm"
"98","Diameter",1.99,"mm"
"99","Diameter",2.01,"mm"
"100","Diameter",1.98,"mm"
"101","Diameter",1.98,"mm"
"102","Diameter",2.03,"mm"
"103","Diameter",1.92,"mm"
"104","Diameter",1.94,"mm"
"105","Diameter",1.99,"mm"
"106","Diameter",2.00,"mm"
"107","Diameter",1.96,"mm"
"108","Diameter",1.98,"mm"
"109","Diameter",2.07,"mm"
"110","Diameter",1.87,"mm"
"111","Diameter",1.93,"mm"
"112","Diameter",1.96,"mm"
"113","Diameter",2.07,"mm"
"114","Diameter",1.96,"mm"
"115","Diameter",1.98,"mm"
"116","Diameter",1.99,"mm"
"117","Diameter",1.97,"mm"
"118","Diameter",2.01,"mm"
"119","Diameter",2.06,"mm"
"120","Diameter",1.99,"mm"
"121","Diameter",1.99,"mm"
"122","Diameter",1.92,"mm"
"123","Diameter",1.97,"mm"
"124","Diameter",1.92,"mm"
"125","Diameter",2.04,"mm"
"126","Diameter",1.99,"mm"
"127","Diameter",2.05,"mm"
"128","Diameter",2.02,"mm"
"129","Diameter",2.04,"mm"
"130","Diameter",2.09,"mm"
"131","Diameter",1.97,"mm"
"132","Diameter",1.95,"mm"
"133","Diameter",2.01,"mm"
"134","Diameter",1.95,"mm"
"135","Diameter",1.92,"mm"
"136","Diameter",1.99,"mm"
"137","Diameter",1.95,"mm"
"138","Diameter",1.96,"mm"
"139","Diameter",2.01,"mm"
"140","Diameter",1.93,"mm"
"141","Diameter",1.97,"mm"
"142","Diameter",2.02,"mm"
"143","Diameter",1.92,"mm"
"144","Diameter",1.96,"mm"
"145","Diameter",2.12,"mm"
"146","Diameter",2.00,"mm"
"147","Diameter",2.00,"mm"
"148","Diameter",1.99,"mm"
"149","Diameter",1.92,"mm"
"150","Diameter",1.99,"mm"
"151","Diameter",1.99,"mm"
"152","Diameter",2.09,"mm"
"153","Diameter",1.86,"mm"
"154","Diameter",1.97,"mm"
"155","Diameter",2.00,"mm"
"156","Diameter",1.95,"mm"
"157","Diameter",1.99,"mm"
"158","Diameter",1.99,"mm"
"159","Diameter",1.99,"mm"
"160","Diameter",1.94,"mm"
"161","Diameter",2.03,"mm"
"162","Diameter",1.98,"mm"
"163","Diameter",2.03,"mm"
"164","Diameter",2.02,"mm"
"165","Diameter",1.93,"mm"
"166","Diameter",1.96,"mm"
"167","Diameter",2.07,"mm"
"168","Diameter",1.95,"mm"
"169","Diameter",1.89,"mm"
"170","Diameter",1.94,"mm"
"171","Diameter",2.04,"mm"
"172","Diameter",1.97,"mm"
"173","Diameter",2.06,"mm"
"174","Diameter",2.02,"mm"
"175","Diameter",1.96,"mm"
"176","Diameter",1.99,"mm"
"177","Diameter",1.93,"mm"
"178","Diameter",2.02,"mm"
"179","Diameter",1.94,"mm"
"180","Diameter",2.01,"mm"
,"Count",0,"pcs"
"[ XY Measure ]"
,"X",,
,"Y",,
,"D",,
"[ Area ]"
"No.","Area","Unit","Perimeter","Unit"
"Total area",0.00,"mm²"
"Count",0,"pcs"
"Area ratio",0.00,"%"
"Total region area",1747.63,"mm²"
